字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
作,dzok7,則落,精,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
伯,bak7,博陌,幫,陌,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
伶,lian2,郎丁,來,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
傭,iaong1,郎丁,以,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
低,dei1,都奚,端,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
你,ni3,乃里,娘,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
住,dzv5,中句,知,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
位,ui5,于愧,云,脂,去,合,止,三等,,,,,,,,,,,,,,,,,,,
伴,buang3,蒲旱,並,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
身,sen1,失人,書,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
皂,zau3,昨早,從,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
佛,vut7,符弗,奉,物,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
近,gian3,其謹,群,欣,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
徹,tshiat7,丑列,徹,薛,入,開,山,三等,,,,,,,,,,,,,,,,,,,
役,ieik7,營隻,以,昔,入,合,梗,三等,,,,,,,,,,,,,,,,,,,
返,fuan4,府遠,非,元,上,合,山,三等,,,,,,,,,,,,,,,,,,,
餘,iv2,以諸,以,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
希,hi1,香衣,曉,微,平,開,止,三等,,,,,,,,,,,,,,,,,,,
坐,zua3,徂果,從,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
穀,gouk7,古禄,見,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
妥,thua4,他果,透,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
含,am2,胡男,匣,覃,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
鄰,ljen2,力珍,來,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
岔,tsha6,楚嫁,初,麻,去,開,假,二等,,,,,,,,,,,,,,,,,,,
肝,gang1,古寒,見,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
肚,do3,徒古,定,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
腸,dzioong2,直良,澄,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
龜,gui1,居求,見,脂,平,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
兔,tho6,湯故,透,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
狂,gong2,巨王,群,陽,平,合,宕,三等,,,,,,,,,,,,,,,,,,,
猶,iu2,下江,以,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
角,gok8,古岳,見,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
刪,sang1,所姦,生,删,平,開,山,二等,,,,,,,,,,,,,,,,,,,
條,dio2,徒聊,定,蕭,平,開,效,四等,,,,,,,,,,,,,,,,,,,
卵,luang3,盧管,來,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
島,dau4,都晧,端,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
迎,ngian2,語京,疑,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
飯,vuan5,符万,奉,元,去,合,山,三等,,,,,,,,,,,,,,,,,,,
飲,im4,於錦,影,侵,上,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
系,hei6,胡計,匣,齊,去,開,蟹,四等,自擬音加h聲母,,,,,,,,,,,,,,,,,,
言,ngien2,語軒,疑,元,平,開,山,三等,,,,,,,,,,,,,,,,,,,
凍,daong6,多貢,端,東,去,合,通,一等,,,,,,,,,,,,,,,,,,,
狀,zong5,鋤亮,崇,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
畝,meu3,莫厚,明,侯,上,開,流,一等,,,,,,,,,,,,,,,,,,,
況,hioong6,許訪,曉,陽,去,合,宕,三等,,,,,,,,,,,,,,,,,,,
床,zong2,士莊,崇,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
庫,kho6,苦故,溪,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
療,lieu2,力照,來,宵,去,開,效,三等,,,,,,,,,,,,,,,,,,,
應,ian1 ian6,於陵,影,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
應,ian6,於證,影,蒸,去,開,曾,三等,,,,,,,,,,,,,,,,,,,
冷,lan3,魯打,來,青,上,開,梗,四等,,,,,,,,,,,,,,,,,,,
這,ngien6,,疑,線,去,開,山,三等,？,,,,,,,,,,,,,,,,,,
序,zv3,徐吕,邪,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
辛,sen1,息鄰,心,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
棄,khi6,詰利,溪,脂,去,開,止,重钮四等,,,,,,,,,,,,,,,,,,,
冶,ia4,羊者,以,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
忘,mong5,巫放,微,陽,去,合,宕,三等,,,,,,,,,,,,,,,,,,,
閑,ang2,户閒,匣,山,平,開,山,二等,,,,,,,,,,,,,,,,,,,
間,gang1 gang6,古閑,見,山,平,開,山,二等,,,,,,,,,,,,,,,,,,,
間,gang6,古莧,見,山,去,開,山,二等,,,,,,,,,,,,,,,,,,,
悶,mun5,莫困,明,魂,去,合,臻,一等,,,,,,,,,,,,,,,,,,,
判,phuang6,普半,滂,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
灶,dzau6,則到,精,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
燦,tshang6,蒼案,清,寒,去,開,山,一等,,,,,,,,,,,,,,,,,,,
弟,dei3,徒禮,定,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
汪,ong1 ong5,烏光,影,唐,平,合,宕,一等,另有上聲,,,,,,,,,,,,,,,,,,
汪,ong5,烏浪,影,唐,去,合,宕,一等,,,,,,,,,,,,,,,,,,,
沙,sa1 sa6,所加,生,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
沙,sa6,所嫁,生,麻,去,開,假,二等,,,,,,,,,,,,,,,,,,,
汽,khi6,丘既,溪,微,去,開,止,三等,,,,,,,,,,,,,,,,,,,
沃,ok7,烏酷,影,沃,入,合,通,一等,,,,,,,,,,,,,,,,,,,
泛,fam6,房法,敷,凡,去,合,咸,三等,,,,,,,,,,,,,,,,,,,
溝,geu1,古侯,見,侯,平,開,流,一等,,,,,,,,,,,,,,,,,,,
沒,muat7,莫勃,明,没,入,合,臻,一等,,,,,,,,,,,,,,,,,,,
沈,sim4 dzim2,式荏,書,侵,上,開,深,三等,,,,,,,,,,,,,,,,,,,
沈,dzim2,直深,澄,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
沉,dzim2,直深 ,澄,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
懷,uai2,户乖,匣,皆,平,合,蟹,二等,,,,,,,,,,,,,,,,,,,
憂,iu1,於求,影,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
快,kuai6,苦夬,溪,夬,去,合,蟹,二等,,,,,,,,,,,,,,,,,,,
完,uang2,胡官,匣,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
宋,saong6,蘇統,心,冬,去,合,通,一等,,,,,,,,,,,,,,,,,,,
宏,an2,户萌,匣,耕,平,合,梗,二等,,,,,,,,,,,,,,,,,,,
牢,lau2,魯刀,來,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
究,giu1,居祐,見,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
窮,giaong2,渠弓,群,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
災,dzai1,祖才,精,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,
良,lioong2,吕張,來,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
證,dzan6,諸應,章,蒸,去,開,曾,三等,,,,,,,,,,,,,,,,,,,
啟,khei4,康禮,溪,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
評,bian2,符兵,並,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
補,bo4,博古,幫,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
初,tshv1,楚居,初,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
社,zia3,常者,禪,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
識,seik7 dzi6,賞職,書,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
識,dzi6,職吏,章,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
訴,so6,桑故,心,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
診,dzen4,章忍,章,真,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
詞,zi2,似兹,邪,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
譯,ieik8,羊益,以,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
君,gun1,舉云,見,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
靈,lian2,郎丁,來,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
即,dzeik8,子力,精,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
層,zan2,昨棱,從,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
尿,nio5,奴弔,泥,蕭,去,開,效,四等,,,,,,,,,,,,,,,,,,,
尾,mi4,無匪,微,微,上,合,止,三等,,,,,,,,,,,,,,,,,,,
遲,dzi2,直尼,澄,脂,平,開,止,三等,,,,,,,,,,,,,,,,,,,
局,giok7,渠玉,群,燭,入,合,通,三等,,,,,,,,,,,,,,,,,,,
改,gai4,古亥,見,咍,上,開,蟹,一等,,,,,,,,,,,,,,,,,,,
張,dzioong1,陟良,知,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
忌,gi5,渠記,群,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
際,dzei6,子例,精,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
陸,louk7,力竹,來,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
阿,a1,烏何,影,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
陳,dzen2,直珍,澄,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
阻,dzv4,側吕,莊,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
附,vu5,符遇,奉,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
妙,mieu5,彌笑,明,宵,去,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
妖,ieu1,於喬,影,宵,平,開,效,重钮三等,,,,,,,,,,,,,,,,,,,
妨,fong1,敷方,敷,陽,平,合,宕,三等,另有去聲,,,,,,,,,,,,,,,,,,
努,no3,奴古,泥,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
忍,njen3,而軫,日,真,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
勁,gian5,居正,見,清,去,開,梗,三等,另從欣韻，居焮切,,,,,,,,,,,,,,,,,,
雞,gei1,古奚,見,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
驅,khu1,區遇,溪,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
純,zun2,常倫,禪,諄,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
紗,sa1,所加,生,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
納,nap7,奴答,泥,合,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
綱,gong1,古郎,見,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
駁,bok7,北角,幫,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
縱,dzaong6,子用,精,鍾,去,合,通,三等,,,,,,,,,,,,,,,,,,,
紛,fun1,撫文,敷,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
紙,dzi4,諸氏,章,支,上,開,止,三等,,,,,,,,,,,,,,,,,,,
紋,mun2,無分,微,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
紡,fong4,妃兩,敷,陽,上,合,宕,三等,,,,,,,,,,,,,,,,,,,
驢,lv2,力居,來,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
紐,niu3,女久,娘,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
奉,vaong3,扶隴,奉,鍾,上,合,通,三等,,,,,,,,,,,,,,,,,,,
玩,nguang5 nguang2,五換,疑,桓,去,合,山,一等,,,,,,,,,,,,,,,,,,,
玩,nguang2,五還,疑,删,平,合,山,二等,,,,,,,,,,,,,,,,,,,
環,uang2,户關,匣,删,平,合,山,二等,,,,,,,,,,,,,,,,,,,
武,mu3,文甫,微,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
青,tshian1,倉經,清,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
責,dzak7,側革,莊,麥,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
現,ien5,胡甸,匣,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
表,bieu4,陂嬌,幫,宵,上,開,效,重钮三等,,,,,,,,,,,,,,,,,,,
規,gui1,居隋,見,支,平,合,止,重钮四等,,,,,,,,,,,,,,,,,,,
抹,muat7,莫撥,明,末,入,合,山,一等,,,,,,,,,,,,,,,,,,,
攏,laong3,力董,來,東,上,合,通,一等,,,,,,,,,,,,,,,,,,,
拔,bat7,蒲撥,並,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
揀,gang4,古限,見,山,上,開,山,二等,,,,,,,,,,,,,,,,,,,
擔,dam1 dam6,都甘,端,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
擔,dam6,都濫,端,談,去,開,咸,一等,,,,,,,,,,,,,,,,,,,
坦,thang4,他但,透,寒,上,開,山,一等,,,,,,,,,,,,,,,,,,,
押,ap7,烏甲,影,狎,入,開,咸,二等,,,,,,,,,,,,,,,,,,,
抽,tshiu1,丑鳩,徹,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
拐,guai4,求蟹,見,佳,上,合,蟹,二等,,,,,,,,,,,,,,,,,,,
拖,tha1,託何,透,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
拍,pak7,普伯,滂,陌,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
者,dzia4,章也,章,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
頂,dian4,都挺,端,青,上,開,梗,四等,,,,,,,,,,,,,,,,,,,
拆,tshak7,丑格,徹,陌,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
擁,iaong1,於容,影,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
抵,dei4,都禮,端,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
拘,gu1,舉朱,見,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
勢,sei6,舒制,書,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
抱,bau3,薄浩,並,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
垃,lap7,郎合,來,合,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
拉,lap7,盧合,來,合,入,開,咸,一等,,,,,,,,,,,,,,,,,,,
攔,lang2,落干,來,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
拌,buang3 phuang1,蒲旱,並,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
拌,phuang1,普官,滂,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
幸,an3,胡耿,匣,耕,上,開,梗,二等,,,,,,,,,,,,,,,,,,,
招,dzieu1,止遥,章,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
坡,phua1,滂禾,滂,戈,平,合,果,一等,,,,,,,,,,,,,,,,,,,
披,phi1,敷羈,滂,支,平,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
撥,buat7,北末,幫,末,入,合,山,一等,,,,,,,,,,,,,,,,,,,
擇,dzak7,場伯,澄,陌,入,開,梗,二等,？,,,,,,,,,,,,,,,,,,
抬,dai2,徒哀,定,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,
其,gi2,居之,見,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
取,tshu4,七庾,清,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
苦,kho4,康杜,溪,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
若,njiok7 njia3,而灼,日,藥,入,開,宕,三等,,,,,,,,,,,,,,,,,,,
若,njia3,人者,日,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
茂,meu5,莫候,明,侯,去,開,流,一等,,,,,,,,,,,,,,,,,,,
蘋,bien2,符真,並,真,平,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
苗,mieu2,武瀌,明,宵,平,開,效,重钮三等,,,,,,,,,,,,,,,,,,,
英,ian1,於驚,影,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
範,vam3,防錽,奉,凡,上,合,咸,三等,,,,,,,,,,,,,,,,,,,
直,dzeik7,除力,澄,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
茄,ga2,古牙,見,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
莖,ian1,烏莖,影,耕,平,開,梗,二等,,,,,,,,,,,,,,,,,,,
茅,mao2,莫交,明,肴,平,開,效,二等,,,,,,,,,,,,,,,,,,,
林,lim2,力尋,來,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
枝,dzi1,章移,章,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
杯,buai1,布回,幫,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
櫃,gui5,求位,群,脂,去,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
析,seik7,先擊,心,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
板,bang4,布綰,幫,删,上,開,山,二等,,,,,,,,,,,,,,,,,,,
松,zaong1,祥容,邪,鍾,平,合,通,三等,縉雲話松樹讀法zo zv？,,,,,,,,,,,,,,,,,,
槍,tshioong1,七羊,清,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
構,geu6,古候,見,侯,去,開,流,一等,,,,,,,,,,,,,,,,,,,
傑,giat7,渠列,群,薛,入,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
述,zuit7,食聿,船,術,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
枕,dzim4,章荏,章,侵,上,開,深,三等,,,,,,,,,,,,,,,,,,,
喪,song1 song6,息郎,心,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
喪,song6,蘇浪,心,唐,去,開,宕,一等,,,,,,,,,,,,,,,,,,,
或,uok7,胡國,匣,德,入,合,曾,一等,,,,,,,,,,,,,,,,,,,
畫,ua5 uak7,胡卦,匣,佳,去,合,蟹,二等,,,,,,,,,,,,,,,,,,,
畫,uak7,胡麥,匣,麥,入,合,梗,二等,,,,,,,,,,,,,,,,,,,
臥,ngua5,吾貨,疑,戈,去,合,果,一等,,,,,,,,,,,,,,,,,,,
事,zi5,鉏吏,崇,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
刺,tshi6 tshik7,七賜,清,支,去,開,止,三等,,,,,,,,,,,,,,,,,,,
刺,tshik7,七迹,清,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
棗,dzau4,子晧,精,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
雨,u3,王遇,云,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
賣,mai5,莫懈,明,佳,去,開,蟹,二等,,,,,,,,,,,,,,,,,,,
礦,gan3,古猛,見,庚,上,合,梗,二等,,,,,,,,,,,,,,,,,,,
碼,ma3,莫下,明,麻,上,開,假,二等,,,,,,,,,,,,,,,,,,,
廁,tsheik7 tshi6,察色,初,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
廁,tshi6,初吏,初,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
奔,bun1 bun6,博昆,幫,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
奔,bun6,甫悶,幫,魂,去,合,臻,一等,,,,,,,,,,,,,,,,,,,
奇,gi2,居宜,見,支,平,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
奮,fun6,方問,非,文,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
態,thai6,他代,透,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
歐,eu1,烏侯,影,侯,平,開,流,一等,,,,,,,,,,,,,,,,,,,
壟,long3,力踵,來,鍾,上,合,通,三等,,,,,,,,,,,,,,,,,,,
妻,tshei1 tshei6,七稽,清,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
妻,tshei6,七計,清,齊,去,開,蟹,四等,,,,,,,,,,,,,,,,,,,
轟,han1,呼迸,曉,耕,平,合,梗,二等,,,,,,,,,,,,,,,,,,,
頃,khian4 khian1,呼宏,溪,清,上,合,梗,三等,,,,,,,,,,,,,,,,,,,
頃,khian1,去營,溪,清,平,合,梗,三等,,,,,,,,,,,,,,,,,,,
轉,dzuen4 dzuen5,陟兖,知,仙,上,合,山,三等,,,,,,,,,,,,,,,,,,,
轉,dzuen5,知戀,知,仙,去,合,山,三等,,,,,,,,,,,,,,,,,,,
斬,dzam4,側減,莊,咸,上,開,咸,二等,,,,,,,,,,,,,,,,,,,
輪,lun2,力迍,來,諄,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
軟,njuen3,而兖,日,仙,上,合,山,三等,,,,,,,,,,,,,,,,,,,
到,dau6,都導,端,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
非,fi1,甫微,非,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
叔,souk7,式竹,書,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
肯,khan4,苦等,溪,登,上,開,曾,一等,,,,,,,,,,,,,,,,,,,
齒,tshi4,昌里,昌,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
些,sia1,寫邪,心,麻,平,開,假,三等,,,,,,,,,,,,,,,,,,,
虎,ho4,呼古,曉,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
虜,lo3,郎古,來,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
腎,zen3,時忍,禪,真,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
賢,ien2,胡田,匣,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
尚,zioong5,時亮,禪,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
旺,uong6,于放,云,陽,去,合,宕,三等,,,,,,,,,,,,,,,,,,,
具,gu5,其遇,群,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
果,gua4,古火,見,戈,上,合,果,一等,,,,,,,,,,,,,,,,,,,
味,mi5,無沸,明,微,去,合,止,三等,,,,,,,,,,,,,,,,,,,
昆,gun1,古渾,見,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
國,gok7,古或,見,德,入,合,曾,一等,,,,,,,,,,,,,,,,,,,
昌,tshioong1,尺良,昌,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
暢,tshioong6,丑亮,徹,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
明,mian2,武兵,明,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
易,ieik8 ii6,羊益,以,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
易,ii6,以豉,以,支,去,開,止,三等,,,,,,,,,,,,,,,,,,,
昂,ngong2,五剛,疑,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
典,dien4,多殄,端,先,上,開,山,四等,,,,,,,,,,,,,,,,,,,
固,go6,古暮,見,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
忠,dzaong1,陟弓,知,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
咐,fu6,方遇,非,虞,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
呼,ho1,荒烏,曉,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
鳴,mian2,武兵,明,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
詠,iuan5,為命,云,庚,去,合,梗,三等,,,,,,,,,,,,,,,,,,,
呢,ni2,女夷,娘,脂,平,開,止,三等,,,,,,,,,,,,,,,,,,,
岸,ngang5,五旰,疑,寒,去,開,山,一等,,,,,,,,,,,,,,,,,,,
岩,ngam2,五銜,疑,銜,平,開,咸,二等,,,,,,,,,,,,,,,,,,,
帖,thiap7,他協,透,帖,入,開,咸,四等,,,,,,,,,,,,,,,,,,,
羅,la2,魯何,來,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
幟,dzi6,職吏,章,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
嶺,lian3,良郢,來,清,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
凱,khai4,苦亥,溪,咍,上,開,蟹,一等,,,,,,,,,,,,,,,,,,,
敗,bai5,薄邁,幫,夬,去,開,蟹,二等,,,,,,,,,,,,,,,,,,,
販,fuan5,方願,非,元,去,合,山,三等,,,,,,,,,,,,,,,,,,,
購,geu6,古候,見,侯,去,開,流,一等,,,,,,,,,,,,,,,,,,,
圖,do2,同都,定,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
釣,dio6,多嘯,端,蕭,去,開,效,四等,,,,,,,,,,,,,,,,,,,
制,dzei6,征例,章,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
知,dzi1,陟離,知,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
垂,zui2,是為,禪,支,平,合,止,三等,,,,,,,,,,,,,,,,,,,
牧,mouk7,莫六,明,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
物,mut7,文弗,微,物,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
乖,guai1,古懷,見,皆,平,合,蟹,二等,,,,,,,,,,,,,,,,,,,
刮,guat7,古？,見,鎋,入,合,山,二等,,,,,,,,,,,,,,,,,,,
稈,gang4,古旱,見,寒,上,開,山,一等,,,,,,,,,,,,,,,,,,,
和,ua2 ua6,户戈,匣,戈,平,合,果,一等,,,,,,,,,,,,,,,,,,,
和,ua6,胡臥,匣,戈,去,合,果,一等,,,,,,,,,,,,,,,,,,,
季,gi6,居悸,見,脂,去,合,止,重钮四等,,,,,,,,,,,,,,,,,,,
委,ui4 ui1,於詭,影,支,上,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
委,ui1,於為,影,支,平,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
佳,gai1,古膎,見,佳,平,開,蟹,二等,,,,,,,,,,,,,,,,,,,
侍,zi5,時吏,禪,之,去,開,止,三等,,,,,,,,,,,,,,,,,,,
供,gaong6 gaong1,居用,見,鍾,去,合,通,三等,,,,,,,,,,,,,,,,,,,
供,gaong1,九容,見,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
使,si4,踈士,生,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
例,lei5,力制,來,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
版,bang4,布綰,幫,删,上,開,山,二等,,,,,,,,,,,,,,,,,,,
侄,dzit7,之日,澄,質,入,開,臻,三等,,,,,,,,,,,,,,,,,,,
偵,tshan1,丑貞,徹,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
側,dzeik8,阻力,莊,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
憑,bian2,扶冰,並,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
僑,gieu2,巨嬌,群,宵,平,開,效,重钮三等,,,,,,,,,,,,,,,,,,,
佩,buai6,蒲昧,並,灰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
貨,hua6,呼臥,曉,戈,去,合,果,一等,,,,,,,,,,,,,,,,,,,
