字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
也,ia3,羊者,以,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,知作
女,nv3 nv5,尼吕,娘,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
女,nv5,尼據,娘,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,？
飛,fi1,甫微,非,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,jiau
刃,njen6,而振,日,真,去,開,臻,三等,,,,,,,,,,,,,,,,,,,iiu
習,zip7,似入,邪,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,
叉,tsha1,初牙,初,麻,平,開,假,二等,,,,,,,,,,,,,,,,,,,
馬,ma3,莫下,明,麻,上,開,假,二等,,,,,,,,,,,,,,,,,,,
鄉,hioong1,許良,曉,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
豐,faong1,敷空,敷,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
王,ong2 ong6,雨方,云,陽,平,合,宕,三等,,,,,,,,,,,,,,,,,,,
王,ong6,于放,云,陽,去,合,宕,三等,,,,,,,,,,,,,,,,,,,
井,dzian4,子郢,精,清,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
開,khai1,苦哀,溪,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,
夫,fu1,甫無,非,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
天,thien1,他前,透,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
無,mu2,武夫,微,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
元,nguen2,愚袁,疑,元,平,合,山,三等,,,,,,,,,,,,,,,,,,,
專,dzuen1,職縁,章,仙,平,合,山,三等,,,,,,,,,,,,,,,,,,,
雲,un2,王分,云,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
紮,dzat7,側八,莊,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
藝,ngei5,魚祭,疑,祭,去,開,蟹,重钮四等,,,,,,,,,,,,,,,,,,,
木,mouk7,莫卜,明,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
五,ngo3 ng3,疑古,疑,模,上,合,遇,一等,ng3為平常口語懶音,,,,,,,,,,,,,,,,,,
